old_id	lifted_id	method	symbol
ENSRNOG00000000248	ENSRNOG00000000248	direct	SRSF2
ENSRNOG00000000249	ENSRNOG00000000249	direct	METTL23
ENSRNOG00000000250	ENSRNOG00000000250	direct	JMJD6
ENSRNOG00000000251	ENSRNOG00000000251	direct	ST6GALNAC1
ENSRNOG00000000252	NA	unmapped	AABR07042687.1
ENSRNOG00000000257	ENSRNOG00000000257	direct	SMPD3
ENSRNOG00000000258	ENSRNOG00000000258	direct	PRMT7
ENSRNOG00000000262	ENSRNOG00000000262	direct	ZFP821
ENSRNOG00000000264	ENSRNOG00000000264	direct	DEF8
ENSRNOG00000000274	ENSRNOG00000000274	direct	PHYHIPL
ENSRNOG00000000275	ENSRNOG00000000275	direct	FAM13C
ENSRNOG00000000277	ENSRNOG00000000277	direct	TET1
ENSRNOG00000000279	ENSRNOG00000000279	direct	RTN4IP1
ENSRNOG00000000281	ENSRNOG00000000281	direct	PRODH1
ENSRNOG00000000282	ENSRNOG00000000282	direct	GSC2
ENSRNOG00000000283	ENSRNOG00000000283	direct	ESS2
ENSRNOG00000000288	ENSRNOG00000000288	direct	SCARF2
ENSRNOG00000000299	ENSRNOG00000000299	direct	FOXO3
ENSRNOG00000000302	ENSRNOG00000000302	direct	SESN1
ENSRNOG00000000303	ENSRNOG00000000303	direct	CEP57L1
ENSRNOG00000000304	ENSRNOG00000000304	direct	CD164
ENSRNOG00000000306	ENSRNOG00000000306	direct	SMPD2
ENSRNOG00000000307	ENSRNOG00000000307	direct	MICAL1
ENSRNOG00000000308	ENSRNOG00000000308	direct	ZBTB24
ENSRNOG00000000312	ENSRNOG00000000312	direct	FIG4
ENSRNOG00000000314	ENSRNOG00000000314	direct	SEC63
ENSRNOG00000000316	ENSRNOG00000000316	direct	SOBP
ENSRNOG00000000320	NA	unmapped	AABR07045462.1
ENSRNOG00000000321	ENSRNOG00000000321	direct	CD24
ENSRNOG00000000322	ENSRNOG00000000322	direct	ATG5
ENSRNOG00000000323	ENSRNOG00000000323	direct	PRDM1
ENSRNOG00000000327	ENSRNOG00000000327	direct	HACE1
ENSRNOG00000000335	ENSRNOG00000000335	direct	ERMAP
ENSRNOG00000000340	ENSRNOG00000000340	direct	RTRAF
ENSRNOG00000000341	ENSRNOG00000000341	direct	NID2
ENSRNOG00000000345	NA	unmapped	AABR07064998.1
ENSRNOG00000000368	ENSRNOG00000000368	direct	GRIK2
ENSRNOG00000000373	ENSRNOG00000000373	direct	AABR07044900.1
ENSRNOG00000000376	ENSRNOG00000000376	direct	TMEM167B
ENSRNOG00000000378	ENSRNOG00000000373	symbol	CTNNA3
ENSRNOG00000000383	ENSRNOG00000000383	direct	MYPN
ENSRNOG00000000384	ENSRNOG00000078656	symbol	ATOH7
ENSRNOG00000000386	ENSRNOG00000000386	direct	PBLD1
ENSRNOG00000000387	ENSRNOG00000000387	direct	SLC25A16
ENSRNOG00000000390	ENSRNOG00000065563	symbol	RUFY2
ENSRNOG00000000392	ENSRNOG00000000392	direct	SUPV3L1
ENSRNOG00000000394	ENSRNOG00000000394	direct	SRGN
ENSRNOG00000000395	ENSRNOG00000000395	direct	KIFBP
ENSRNOG00000000396	ENSRNOG00000000396	direct	DDX50
ENSRNOG00000000397	ENSRNOG00000000397	direct	CCAR1
ENSRNOG00000000398	ENSRNOG00000000398	direct	ZUP1
ENSRNOG00000000401	ENSRNOG00000000401	direct	GPRC6A
ENSRNOG00000000405	ENSRNOG00000000405	direct	VGLL2
ENSRNOG00000000406	ENSRNOG00000000406	direct	ROS1
ENSRNOG00000000407	ENSRNOG00000000407	direct	DCBLD1
ENSRNOG00000000408	ENSRNOG00000000408	direct	GOPC
ENSRNOG00000000410	ENSRNOG00000000410	direct	NEPN
ENSRNOG00000000411	ENSRNOG00000000411	direct	NUS1
ENSRNOG00000000412	ENSRNOG00000000412	direct	SLC35F1
ENSRNOG00000000413	ENSRNOG00000079579	symbol	PLN
ENSRNOG00000000414	ENSRNOG00000000414	direct	CEP85L
ENSRNOG00000000415	ENSRNOG00000000415	direct	ASF1A
ENSRNOG00000000417	ENSRNOG00000000417	direct	NUMA1
ENSRNOG00000000418	ENSRNOG00000071232	symbol	ZBTB12
ENSRNOG00000000419	NA	unmapped	CFB
ENSRNOG00000000420	ENSRNOG00000000420	direct	NELFE
ENSRNOG00000000421	ENSRNOG00000000421	direct	SKIV2L
ENSRNOG00000000422	ENSRNOG00000000422	direct	DXO
ENSRNOG00000000423	NA	unmapped	AABR07044388.1
ENSRNOG00000000428	ENSRNOG00000000428	direct	CYP21A1
ENSRNOG00000000431	ENSRNOG00000000431	direct	ATF6B
ENSRNOG00000000432	ENSRNOG00000000432	direct	FKBPL
ENSRNOG00000000433	ENSRNOG00000000433	direct	PRRT1
ENSRNOG00000000435	ENSRNOG00000000435	direct	PPT2
ENSRNOG00000000436	ENSRNOG00000000436	direct	EGFL8
ENSRNOG00000000437	ENSRNOG00000000437	direct	AGPAT1
ENSRNOG00000000438	ENSRNOG00000000438	direct	RNF5
ENSRNOG00000000439	ENSRNOG00000000439	direct	AGER
ENSRNOG00000000440	ENSRNOG00000000440	direct	PBX2
ENSRNOG00000000441	NA	unmapped	GPSM3
ENSRNOG00000000442	ENSRNOG00000000442	direct	NOTCH4
ENSRNOG00000000443	NA	unmapped	C4A
ENSRNOG00000000446	ENSRNOG00000000446	direct	BTNL7
ENSRNOG00000000451	ENSRNOG00000000451	direct	RT1-BA
ENSRNOG00000000454	ENSRNOG00000000454	direct	RT1-DOB
ENSRNOG00000000455	ENSRNOG00000000455	direct	TAP2
ENSRNOG00000000456	ENSRNOG00000000456	direct	PSMB8
ENSRNOG00000000457	ENSRNOG00000000457	direct	TAP1
ENSRNOG00000000459	ENSRNOG00000000459	direct	PSMB9
ENSRNOG00000000461	ENSRNOG00000000461	direct	BRD2
ENSRNOG00000000463	ENSRNOG00000000463	direct	COL11A2
ENSRNOG00000000464	ENSRNOG00000000464	direct	RXRB
ENSRNOG00000000465	ENSRNOG00000000465	direct	SLC39A7
ENSRNOG00000000466	ENSRNOG00000000466	direct	HSD17B8
ENSRNOG00000000467	ENSRNOG00000000467	direct	RING1
ENSRNOG00000000470	ENSRNOG00000000470	direct	VPS52
ENSRNOG00000000471	ENSRNOG00000000471	direct	B3GALT4
ENSRNOG00000000473	ENSRNOG00000000473	direct	PFDN6
ENSRNOG00000000474	ENSRNOG00000000474	direct	RGL2
ENSRNOG00000000476	ENSRNOG00000000476	direct	ZBTB22
ENSRNOG00000000477	ENSRNOG00000000477	direct	DAXX
ENSRNOG00000000478	NA	unmapped	AA926063
ENSRNOG00000000479	ENSRNOG00000000479	direct	KIFC1
ENSRNOG00000000480	ENSRNOG00000000480	direct	PHF1
ENSRNOG00000000481	ENSRNOG00000000481	direct	CUTA
ENSRNOG00000000483	ENSRNOG00000000483	direct	SYNGAP1
ENSRNOG00000000485	ENSRNOG00000000485	direct	BAK1
ENSRNOG00000000486	ENSRNOG00000000486	direct	GGNBP1
ENSRNOG00000000487	ENSRNOG00000000487	direct	GRM4
ENSRNOG00000000488	ENSRNOG00000000488	direct	HMGA1
ENSRNOG00000000490	ENSRNOG00000000490	direct	RPS10
ENSRNOG00000000491	ENSRNOG00000000491	direct	SPDEF
ENSRNOG00000000493	ENSRNOG00000000493	direct	SNRPC
ENSRNOG00000000495	ENSRNOG00000000495	direct	UHRF1BP1
ENSRNOG00000000498	ENSRNOG00000000498	direct	ANKS1A
ENSRNOG00000000499	ENSRNOG00000000499	direct	TCP11
ENSRNOG00000000500	ENSRNOG00000000500	direct	SCUBE3
ENSRNOG00000000501	ENSRNOG00000000501	direct	ZFP523
ENSRNOG00000000502	ENSRNOG00000000502	direct	DEF6
ENSRNOG00000000503	ENSRNOG00000000503	direct	PPARD
ENSRNOG00000000504	ENSRNOG00000000504	direct	FANCE
ENSRNOG00000000505	ENSRNOG00000000505	direct	RPL10A
ENSRNOG00000000506	ENSRNOG00000000506	direct	TEAD3
ENSRNOG00000000507	ENSRNOG00000000507	direct	TULP1
ENSRNOG00000000508	ENSRNOG00000000508	direct	ARMC12
ENSRNOG00000000510	ENSRNOG00000000510	direct	CLPS
ENSRNOG00000000511	ENSRNOG00000000511	direct	SRPK1
ENSRNOG00000000512	ENSRNOG00000000512	direct	SLC26A8
ENSRNOG00000000513	ENSRNOG00000000513	direct	MAPK14
ENSRNOG00000000515	ENSRNOG00000000515	direct	MAPK13
ENSRNOG00000000516	ENSRNOG00000000516	direct	PXT1
ENSRNOG00000000517	ENSRNOG00000000517	direct	KCTD20
ENSRNOG00000000519	ENSRNOG00000000519	direct	STK38
ENSRNOG00000000520	ENSRNOG00000000520	direct	SRSF3
ENSRNOG00000000521	ENSRNOG00000000521	direct	CDKN1A
ENSRNOG00000000522	ENSRNOG00000000522	direct	CPNE5
ENSRNOG00000000523	ENSRNOG00000000523	direct	PPIL1
ENSRNOG00000000524	ENSRNOG00000000524	direct	RGD735065
ENSRNOG00000000525	ENSRNOG00000000525	direct	PI16
ENSRNOG00000000527	ENSRNOG00000000527	direct	MTCH1
ENSRNOG00000000528	ENSRNOG00000000528	direct	FGD2
ENSRNOG00000000529	ENSRNOG00000000529	direct	PIM1
ENSRNOG00000000531	ENSRNOG00000068717	symbol	CCDC167
ENSRNOG00000000532	ENSRNOG00000000532	direct	CMTR1
ENSRNOG00000000536	ENSRNOG00000000536	direct	MDGA1
ENSRNOG00000000540	ENSRNOG00000000540	direct	BTBD9
ENSRNOG00000000541	ENSRNOG00000000541	direct	GLO1
ENSRNOG00000000542	ENSRNOG00000000542	direct	DNAH8
ENSRNOG00000000543	ENSRNOG00000000543	direct	FRK
ENSRNOG00000000546	ENSRNOG00000000546	direct	NT5DC1
ENSRNOG00000000547	ENSRNOG00000082577	symbol	TSPYL4
ENSRNOG00000000549	ENSRNOG00000000549	direct	TSPYL1
ENSRNOG00000000551	ENSRNOG00000000551	direct	FAM241B
ENSRNOG00000000552	ENSRNOG00000000552	direct	COL13A1
ENSRNOG00000000556	ENSRNOG00000000556	direct	NODAL
ENSRNOG00000000557	ENSRNOG00000000557	direct	PPA1
ENSRNOG00000000559	ENSRNOG00000000559	direct	NPFFR1
ENSRNOG00000000560	ENSRNOG00000000560	direct	LRRC20
ENSRNOG00000000561	ENSRNOG00000000561	direct	PALD1
ENSRNOG00000000562	ENSRNOG00000000562	direct	PRF1
ENSRNOG00000000563	ENSRNOG00000000563	direct	ADAMTS14
ENSRNOG00000000564	ENSRNOG00000000564	direct	TBATA
ENSRNOG00000000565	ENSRNOG00000000565	direct	SGPL1
ENSRNOG00000000566	ENSRNOG00000000566	direct	PCBD1
ENSRNOG00000000567	ENSRNOG00000000567	direct	UNC5B
ENSRNOG00000000568	ENSRNOG00000000568	direct	SLC29A3
ENSRNOG00000000569	ENSRNOG00000000569	direct	VSIR
ENSRNOG00000000571	ENSRNOG00000000571	direct	PSAP
ENSRNOG00000000572	ENSRNOG00000000572	direct	CHST3
ENSRNOG00000000574	ENSRNOG00000000574	direct	AC096404.1
ENSRNOG00000000576	ENSRNOG00000000576	direct	ANAPC16
ENSRNOG00000000579	ENSRNOG00000000579	direct	MARCKS
ENSRNOG00000000580	ENSRNOG00000000580	direct	CALHM4
ENSRNOG00000000581	ENSRNOG00000000581	direct	CDC40
ENSRNOG00000000582	ENSRNOG00000000582	direct	DDO
ENSRNOG00000000583	ENSRNOG00000000583	direct	CDK19
ENSRNOG00000000585	ENSRNOG00000000585	direct	AMD1
ENSRNOG00000000586	ENSRNOG00000000586	direct	GTF3C6
ENSRNOG00000000587	ENSRNOG00000000587	direct	RPF2
ENSRNOG00000000588	ENSRNOG00000000588	direct	SLC16A10
ENSRNOG00000000589	ENSRNOG00000000589	direct	RGD1310495
ENSRNOG00000000590	ENSRNOG00000000590	direct	NAGLT1
ENSRNOG00000000593	ENSRNOG00000000593	direct	REV3L
ENSRNOG00000000595	ENSRNOG00000000595	direct	TRAF3IP2
ENSRNOG00000000596	ENSRNOG00000000596	direct	FYN
ENSRNOG00000000597	ENSRNOG00000000597	direct	CCN6
ENSRNOG00000000598	ENSRNOG00000000598	direct	TUBE1
ENSRNOG00000000599	ENSRNOG00000000599	direct	LAMA4
ENSRNOG00000000604	ENSRNOG00000000604	direct	HDAC2
ENSRNOG00000000605	ENSRNOG00000000605	direct	HS3ST5
ENSRNOG00000000606	ENSRNOG00000000606	direct	PCDH15
ENSRNOG00000000607	ENSRNOG00000071584	id_history	RGD1559903
ENSRNOG00000000609	ENSRNOG00000000609	direct	IPMK
ENSRNOG00000000610	ENSRNOG00000000610	direct	CISD1
ENSRNOG00000000611	ENSRNOG00000000611	direct	UBE2D1
ENSRNOG00000000613	ENSRNOG00000000613	direct	TFAM
ENSRNOG00000000614	ENSRNOG00000000614	direct	BICC1
ENSRNOG00000000618	ENSRNOG00000000618	direct	MDGA2
ENSRNOG00000000620	NA	unmapped	AABR07041078.1
ENSRNOG00000000622	ENSRNOG00000086472	symbol	HINT1
ENSRNOG00000000630	ENSRNOG00000000630	direct	AABR07044783.1
ENSRNOG00000000632	ENSRNOG00000000632	direct	CDK1
ENSRNOG00000000633	ENSRNOG00000000633	direct	RHOBTB1
ENSRNOG00000000634	ENSRNOG00000000634	direct	CABCOCO1
ENSRNOG00000000635	ENSRNOG00000000635	direct	ARID5B
ENSRNOG00000000636	ENSRNOG00000067849	symbol	RTKN2
ENSRNOG00000000638	ENSRNOG00000000638	direct	ZFP365
ENSRNOG00000000639	ENSRNOG00000070733	symbol	ADO
