feature_ID	gene_symbol	category
ENSRNOG00000027039	Mrpl22	ribosomal
ENSRNOG00000027503	Rps25	ribosomal
ENSRNOG00000028021	Rps13	ribosomal
ENSRNOG00000028449	Rpl9	ribosomal
ENSRNOG00000028505	Rps18	ribosomal
ENSRNOG00000028939	Rps29	ribosomal
ENSRNOG00000028993	Rpl12	ribosomal
ENSRNOG00000029042	Mt-nd6	mito
ENSRNOG00000029173	Rpl22l2	ribosomal
ENSRNOG00000029267	Rpl39	ribosomal
ENSRNOG00000029377	Rpl38	ribosomal
ENSRNOG00000029410	Rpl21	ribosomal
ENSRNOG00000029443	Rps29	ribosomal
ENSRNOG00000029574	Rps4x-ps9	ribosomal
ENSRNOG00000029627	Rps20	ribosomal
ENSRNOG00000029707	Mt-nd4	mito
ENSRNOG00000029875	Mrpl41	ribosomal
ENSRNOG00000029886	Hba-a1	hemoglobin
ENSRNOG00000029971	Mt-nd5	mito
ENSRNOG00000030106	Rps10l1	ribosomal
ENSRNOG00000030345	Rps20	ribosomal
ENSRNOG00000030371	Mt-co2	mito
ENSRNOG00000030476	Rpl9	ribosomal
ENSRNOG00000030596	Rps20	ribosomal
ENSRNOG00000030644	Mt-nd1	mito
ENSRNOG00000030700	Mt-co3	mito
ENSRNOG00000031022	Rpl36al	ribosomal
ENSRNOG00000031033	Mt-nd2	mito
ENSRNOG00000031041	Rps4y2	ribosomal
ENSRNOG00000031053	Mt-nd4l	mito
ENSRNOG00000031313	Rpl31l2	ribosomal
ENSRNOG00000031315	Rpl36a-ps2	ribosomal
ENSRNOG00000031474	Rps19l1	ribosomal
ENSRNOG00000031517	Rpl27-l1	ribosomal
ENSRNOG00000031766	Mt-cyb	mito
ENSRNOG00000031889	Rpl6-ps1	ribosomal
ENSRNOG00000031979	Mt-atp6	mito
ENSRNOG00000032300	Rpl39l	ribosomal
ENSRNOG00000032303	Rpl35al1	ribosomal
ENSRNOG00000032542	Rps29	ribosomal
ENSRNOG00000032605	Rpl32	ribosomal
ENSRNOG00000032630	Mrps28	ribosomal
ENSRNOG00000032635	Rpl8	ribosomal
ENSRNOG00000032720	Rpl10l	ribosomal
ENSRNOG00000032780	Mrpl58	ribosomal
ENSRNOG00000032803	Rpl21	ribosomal
ENSRNOG00000032825	Rpl30	ribosomal
ENSRNOG00000032835	Rpl39	ribosomal
ENSRNOG00000032877	Rps15al2	ribosomal
ENSRNOG00000033152	Rps18	ribosomal
ENSRNOG00000033299	Mt-atp8	mito
ENSRNOG00000033473	Rpl36	ribosomal
ENSRNOG00000033615	Mt-nd3	mito
ENSRNOG00000033686	Rpl38	ribosomal
ENSRNOG00000033803	Rpl37	ribosomal
ENSRNOG00000033913	Rps12l3	ribosomal
ENSRNOG00000034180	Rpl37	ribosomal
ENSRNOG00000034234	Mt-co1	mito
ENSRNOG00000034237	Rpl39	ribosomal
ENSRNOG00000034246	Rps27a-ps1	ribosomal
ENSRNOG00000036695	Mrpl12	ribosomal
ENSRNOG00000037897	Rps19	ribosomal
ENSRNOG00000038654	Rpl39	ribosomal
ENSRNOG00000039249	Rpl31l4	ribosomal
ENSRNOG00000039297	Mrpl52	ribosomal
ENSRNOG00000042233	Rpl41	ribosomal
ENSRNOG00000042411	Rps6ka1	ribosomal
ENSRNOG00000042720	Mrpl28	ribosomal
ENSRNOG00000042740	Mrpl42	ribosomal
ENSRNOG00000042886	Rps28	ribosomal
ENSRNOG00000043348	Rpl39	ribosomal
ENSRNOG00000045785	Mrpl1	ribosomal
ENSRNOG00000045989	Hba-a3	hemoglobin
ENSRNOG00000047098	Hbb-b1	hemoglobin
ENSRNOG00000047321	Hba-a2	hemoglobin
ENSRNOG00000047557	Rpl35al1	ribosomal
ENSRNOG00000047563	Mrpl39	ribosomal
ENSRNOG00000047737	Rpl7a	ribosomal
ENSRNOG00000047971	Mrpl36	ribosomal
ENSRNOG00000047984	Mrps22	ribosomal
ENSRNOG00000048073	Rpl39	ribosomal
ENSRNOG00000048409	Mrps21l	ribosomal
ENSRNOG00000048456	Rpl8	ribosomal
ENSRNOG00000048523	Rpl8	ribosomal
ENSRNOG00000048585	Rps17l	ribosomal
ENSRNOG00000048701	Rpl38	ribosomal
ENSRNOG00000049025	Rps6	ribosomal
ENSRNOG00000049047	Rpl38	ribosomal
ENSRNOG00000049097	Rpl7a	ribosomal
ENSRNOG00000049330	Mrpl30	ribosomal
ENSRNOG00000049536	Rpl35al1	ribosomal
ENSRNOG00000049686	Mrpl40	ribosomal
ENSRNOG00000049848	Rpl21	ribosomal
ENSRNOG00000049921	Mrps21l	ribosomal
ENSRNOG00000050393	Rpl39	ribosomal
ENSRNOG00000050473	Rps27l	ribosomal
ENSRNOG00000052141	Rps10	ribosomal
ENSRNOG00000052207	Rps15al4	ribosomal
ENSRNOG00000052279	Mrpl53	ribosomal
ENSRNOG00000053109	Mrpl53	ribosomal
ENSRNOG00000053615	Mrpl50	ribosomal
ENSRNOG00000053756	Rps15al4	ribosomal
ENSRNOG00000054582	Hbb-bs	hemoglobin
ENSRNOG00000054626	Rps8	ribosomal
ENSRNOG00000056765	Rpl10	ribosomal
ENSRNOG00000057677	Rpl30l1	ribosomal
ENSRNOG00000057877	Rpl26-ps3	ribosomal
ENSRNOG00000058105	Hbb	hemoglobin
ENSRNOG00000058909	Rps9	ribosomal
ENSRNOG00000059381	Mrps6	ribosomal
ENSRNOG00000060449	Rps21	ribosomal
ENSRNOG00000060629	Hbb-b1	hemoglobin
ENSRNOG00000061213	Mrps36	ribosomal
ENSRNOG00000061282	Rpl26-ps3	ribosomal
ENSRNOG00000061299	Hbb-bs	hemoglobin
ENSRNOG00000061579	Rpl12-ps1	ribosomal
ENSRNOG00000062298	Rpl13a	ribosomal
