symbol	old_ensrnog	current_ensrnog	n_tissues_trainreg	tissues	in_current_annot	in_sc_corpus	category	importance
LY6A	ENSRNOG00000037374		1	WAT-SC	FALSE	FALSE	real_curated	low
LY6H	ENSRNOG00000007334		1	SPLEEN	FALSE	FALSE	real_curated	low
MAPK1IP1L	ENSRNOG00000011611		1	WAT-SC	FALSE	FALSE	real_curated	low
MAS1L	ENSRNOG00000014965		1	WAT-SC	FALSE	FALSE	real_curated	low
MC4R	ENSRNOG00000018692		1	LUNG	FALSE	FALSE	real_curated	low
MRGPRX2	ENSRNOG00000033665		1	BAT	FALSE	FALSE	real_curated	low
MRPL53	ENSRNOG00000053109		1	COLON	FALSE	FALSE	mito_ribosomal	low
MRPS18C	ENSRNOG00000002178		1	BLOOD	FALSE	FALSE	mito_ribosomal	low
MRPS24	ENSRNOG00000011979		1	COLON	FALSE	FALSE	mito_ribosomal	low
MRPS34	ENSRNOG00000015479		1	SKM-VL	FALSE	FALSE	mito_ribosomal	low
MT2-PS1	ENSRNOG00000028841		1	LIVER	FALSE	FALSE	ncRNA/pseudo	low
MUP4	ENSRNOG00000050499		1	WAT-SC	FALSE	FALSE	real_curated	low
NDUFAF4	ENSRNOG00000007506		1	ADRNL	FALSE	FALSE	real_curated	low
NOS2-PS1	ENSRNOG00000062228		1	ADRNL	FALSE	FALSE	ncRNA/pseudo	low
NUDT15	ENSRNOG00000025239		1	ADRNL	FALSE	FALSE	real_curated	low
NWD1	ENSRNOG00000052129		1	WAT-SC	FALSE	FALSE	real_curated	low
NXPE5	ENSRNOG00000031343		1	COLON	FALSE	FALSE	real_curated	low
OAS1I	ENSRNOG00000047076		1	ADRNL	FALSE	FALSE	real_curated	low
PCDHB12	ENSRNOG00000033719		1	ADRNL	FALSE	FALSE	real_curated	low
PCDHGC3	ENSRNOG00000019799		1	WAT-SC	FALSE	FALSE	real_curated	low
PEDS1	ENSRNOG00000060571		1	ADRNL	FALSE	FALSE	real_curated	low
PILRB1L1	ENSRNOG00000047077		1	LUNG	FALSE	FALSE	real_curated	low
PILRB2	ENSRNOG00000046184		1	BLOOD	FALSE	FALSE	real_curated	low
PILRB2L9	ENSRNOG00000047079		1	SPLEEN	FALSE	FALSE	real_curated	low
PKD2	ENSRNOG00000002146		1	COLON	FALSE	FALSE	real_curated	low
PLEKHJ1	ENSRNOG00000019247		1	BLOOD	FALSE	FALSE	real_curated	low
PLIN3	ENSRNOG00000048834		1	SKM-VL	FALSE	FALSE	real_curated	low
PPP1R35	ENSRNOG00000024505		1	COLON	FALSE	FALSE	real_curated	low
