symbol	old_ensrnog	current_ensrnog	n_tissues_trainreg	tissues	in_current_annot	in_sc_corpus	category	importance
AC120076.1	ENSRNOG00000060422		2	COLON,LUNG	FALSE	FALSE	clone	low
AC120807.1	ENSRNOG00000053946		2	OVARY,WAT-SC	FALSE	FALSE	clone	low
AC125248.1	ENSRNOG00000060829		2	ADRNL,WAT-SC	FALSE	FALSE	clone	low
AC134224.3	ENSRNOG00000062158		2	ADRNL,HEART	FALSE	FALSE	clone	low
AC135026.1	ENSRNOG00000054620		2	BLOOD,SPLEEN	FALSE	FALSE	clone	low
ADPRHL1	ENSRNOG00000019504		2	HEART,SKM-GN	FALSE	FALSE	real_curated	med
APOL11A	ENSRNOG00000023122		2	ADRNL,OVARY	FALSE	FALSE	real_curated	med
AY172581.24	ENSRNOG00000043866		2	ADRNL,SMLINT	FALSE	FALSE	real_curated	med
C5AR1	ENSRNOG00000047800		2	BAT,LUNG	FALSE	FALSE	real_curated	med
CDV3L1	ENSRNOG00000031368		2	ADRNL,HEART	FALSE	FALSE	real_curated	med
CHURC1	ENSRNOG00000007336		2	BLOOD,SKM-VL	FALSE	FALSE	real_curated	med
CLEC3B	ENSRNOG00000004540		2	ADRNL,SPLEEN	FALSE	FALSE	real_curated	med
COL20A1	ENSRNOG00000010326		2	ADRNL,OVARY	FALSE	FALSE	real_curated	med
CREB3L2	ENSRNOG00000012826		2	ADRNL,COLON	FALSE	FALSE	real_curated	med
DHFR	ENSRNOG00000013521		2	COLON,OVARY	FALSE	FALSE	real_curated	med
EDF1	ENSRNOG00000016272		2	BLOOD,COLON	FALSE	FALSE	real_curated	med
GP1BB	ENSRNOG00000046981		2	BLOOD,SPLEEN	FALSE	FALSE	real_curated	med
GRCC10	ENSRNOG00000050660		2	ADRNL,KIDNEY	FALSE	FALSE	real_curated	med
GRTP1	ENSRNOG00000061995		2	ADRNL,COLON	FALSE	FALSE	real_curated	med
HBQ1B	ENSRNOG00000028114	ENSRNOG00000028114	2	BLOOD,SPLEEN	TRUE	FALSE	real_curated	med
HDGFL2	ENSRNOG00000049142	ENSRNOG00000049142	2	ADRNL,COLON	TRUE	FALSE	real_curated	med
HIATL3	ENSRNOG00000050407		2	ADRNL,KIDNEY	FALSE	FALSE	real_curated	med
HOXB5	ENSRNOG00000008010		2	ADRNL,COLON	FALSE	FALSE	real_curated	med
IGHL13	ENSRNOG00000053103		2	LUNG,SMLINT	FALSE	TRUE	immunoglobulin	low
IGHL13	ENSRNOG00000055719		2	LUNG,SMLINT	FALSE	TRUE	immunoglobulin	low
IGKV8-30L1	ENSRNOG00000048070		2	LUNG,SPLEEN	FALSE	FALSE	immunoglobulin	low
INAFM1	ENSRNOG00000049661		2	ADRNL,BAT	FALSE	FALSE	real_curated	med
LOC100359922	ENSRNOG00000006283		2	BLOOD,SPLEEN	FALSE	FALSE	predicted	low
LOC102550036	ENSRNOG00000062120		2	ADRNL,BLOOD	FALSE	FALSE	predicted	low
LOC108350566	ENSRNOG00000053070	ENSRNOG00000053070	2	ADRNL,BAT	TRUE	FALSE	predicted	low
LRRN4CL	ENSRNOG00000026302		2	ADRNL,WAT-SC	FALSE	FALSE	real_curated	med
NPDC1	ENSRNOG00000013895		2	ADRNL,COLON	FALSE	FALSE	real_curated	med
PALLDL1	ENSRNOG00000042312		2	SKM-GN,SKM-VL	FALSE	FALSE	real_curated	med
PDHA1L1	ENSRNOG00000014745		2	ADRNL,BAT	FALSE	FALSE	real_curated	med
PGPEP1	ENSRNOG00000019639		2	ADRNL,LIVER	FALSE	FALSE	real_curated	med
PHPT1	ENSRNOG00000016723		2	BAT,SPLEEN	FALSE	FALSE	real_curated	med
RAMP1	ENSRNOG00000019926		2	COLON,OVARY	FALSE	FALSE	real_curated	med
RPLP1	ENSRNOG00000013874		2	BLOOD,KIDNEY	FALSE	FALSE	real_curated	med
SH3BGRL	ENSRNOG00000002280		2	ADRNL,BAT	FALSE	FALSE	real_curated	med
SOX12	ENSRNOG00000007514		2	ADRNL,KIDNEY	FALSE	FALSE	real_curated	med
SPEF1	ENSRNOG00000021247		2	BLOOD,SKM-VL	FALSE	FALSE	real_curated	med
SURF4	ENSRNOG00000060005		2	ADRNL,COLON	FALSE	FALSE	real_curated	med
TMED7	ENSRNOG00000003691		2	ADRNL,KIDNEY	FALSE	FALSE	real_curated	med
TNFSF10	ENSRNOG00000013269		2	BAT,LIVER	FALSE	FALSE	real_curated	med
TPH1	ENSRNOG00000011672		2	COLON,HIPPOC	FALSE	FALSE	real_curated	med
TRIM16	ENSRNOG00000003219		2	ADRNL,SKM-GN	FALSE	FALSE	real_curated	med
TUT1	ENSRNOG00000020047		2	BAT,SKM-GN	FALSE	FALSE	real_curated	med
UBE2M	ENSRNOG00000027514		2	BLOOD,HEART	FALSE	FALSE	real_curated	med
UBL5	ENSRNOG00000020442		2	COLON,SKM-GN	FALSE	FALSE	real_curated	med
ULBP1	ENSRNOG00000061316		2	LUNG,SKM-GN	FALSE	FALSE	real_curated	med
	ENSRNOG00000002314		1	HEART	FALSE	FALSE	no_symbol	low
	ENSRNOG00000052360		1	ADRNL	FALSE	FALSE	no_symbol	low
	ENSRNOG00000053620		1	SMLINT	FALSE	FALSE	no_symbol	low
	ENSRNOG00000054939		1	OVARY	FALSE	FALSE	no_symbol	low
	ENSRNOG00000056359		1	WAT-SC	FALSE	FALSE	no_symbol	low
1700066B19RIK	ENSRNOG00000039592		1	COLON	FALSE	FALSE	clone	low
7SK	ENSRNOG00000058555		1	COLON	FALSE	FALSE	real_curated	low
AABR07001099.2	ENSRNOG00000051377		1	COLON	FALSE	FALSE	clone	low
AABR07001389.1	ENSRNOG00000053113		1	ADRNL	FALSE	FALSE	clone	low
AABR07001512.1	ENSRNOG00000017412		1	SPLEEN	FALSE	FALSE	clone	low
AABR07001634.1	ENSRNOG00000060438		1	ADRNL	FALSE	FALSE	clone	low
AABR07002677.2	ENSRNOG00000060041		1	OVARY	FALSE	FALSE	clone	low
AABR07002768.1	ENSRNOG00000055096		1	ADRNL	FALSE	FALSE	clone	low
AABR07002775.1	ENSRNOG00000048489		1	LIVER	FALSE	FALSE	clone	low
AABR07004228.1	ENSRNOG00000059662		1	WAT-SC	FALSE	FALSE	clone	low
AABR07004269.3	ENSRNOG00000051102	ENSRNOG00000051102	1	BLOOD	TRUE	FALSE	clone	low
AABR07004868.2	ENSRNOG00000057308		1	LUNG	FALSE	FALSE	clone	low
AABR07005535.1	ENSRNOG00000051825		1	WAT-SC	FALSE	FALSE	clone	low
AABR07005593.1	ENSRNOG00000054843		1	ADRNL	FALSE	FALSE	clone	low
AABR07005779.3	ENSRNOG00000054418	ENSRNOG00000054418	1	ADRNL	TRUE	FALSE	clone	low
AABR07005794.1	ENSRNOG00000060009		1	ADRNL	FALSE	FALSE	clone	low
AABR07006025.1	ENSRNOG00000019293		1	ADRNL	FALSE	FALSE	clone	low
AABR07006232.1	ENSRNOG00000049738		1	WAT-SC	FALSE	FALSE	clone	low
AABR07006458.1	ENSRNOG00000046420		1	ADRNL	FALSE	FALSE	clone	low
AABR07007055.1	ENSRNOG00000061365		1	ADRNL	FALSE	FALSE	clone	low
AABR07011996.1	ENSRNOG00000061272		1	ADRNL	FALSE	FALSE	clone	low
AABR07013111.1	ENSRNOG00000030575		1	LUNG	FALSE	FALSE	clone	low
AABR07013116.1	ENSRNOG00000053956		1	SMLINT	FALSE	FALSE	clone	low
AABR07016141.1	ENSRNOG00000046536		1	ADRNL	FALSE	FALSE	clone	low
AABR07016572.1	ENSRNOG00000061005		1	COLON	FALSE	FALSE	clone	low
AABR07016950.1	ENSRNOG00000049843		1	WAT-SC	FALSE	FALSE	clone	low
AABR07017268.1	ENSRNOG00000055328		1	ADRNL	FALSE	FALSE	clone	low
AABR07018038.1	ENSRNOG00000051196		1	ADRNL	FALSE	FALSE	clone	low
AABR07018087.1	ENSRNOG00000058383		1	ADRNL	FALSE	FALSE	clone	low
AABR07019085.1	ENSRNOG00000059113		1	WAT-SC	FALSE	FALSE	clone	low
AABR07019086.1	ENSRNOG00000053968		1	TESTES	FALSE	FALSE	clone	low
AABR07024441.1	ENSRNOG00000049069		1	ADRNL	FALSE	FALSE	clone	low
AABR07026012.1	ENSRNOG00000022358		1	ADRNL	FALSE	FALSE	clone	low
AABR07026032.3	ENSRNOG00000059081		1	HIPPOC	FALSE	FALSE	clone	low
AABR07026294.1	ENSRNOG00000059911		1	ADRNL	FALSE	FALSE	clone	low
AABR07027137.1	ENSRNOG00000058611		1	KIDNEY	FALSE	FALSE	clone	low
AABR07027447.1	ENSRNOG00000047534		1	SMLINT	FALSE	FALSE	clone	low
AABR07027450.1	ENSRNOG00000045599		1	COLON	FALSE	FALSE	clone	low
AABR07027451.1	ENSRNOG00000046284		1	SMLINT	FALSE	FALSE	clone	low
AABR07027872.1	ENSRNOG00000055197	ENSRNOG00000055197	1	LUNG	TRUE	FALSE	clone	low
AABR07028795.1	ENSRNOG00000061514		1	BLOOD	FALSE	FALSE	clone	low
AABR07028795.2	ENSRNOG00000061547		1	BLOOD	FALSE	FALSE	clone	low
AABR07029958.1	ENSRNOG00000061994		1	OVARY	FALSE	FALSE	clone	low
AABR07030086.2	ENSRNOG00000056575		1	WAT-SC	FALSE	FALSE	clone	low
AABR07030363.1	ENSRNOG00000051683		1	ADRNL	FALSE	FALSE	clone	low
AABR07030603.1	ENSRNOG00000050188		1	ADRNL	FALSE	FALSE	clone	low
AABR07031611.1	ENSRNOG00000061426		1	TESTES	FALSE	FALSE	clone	low
AABR07032496.1	ENSRNOG00000057780		1	BLOOD	FALSE	FALSE	clone	low
AABR07032518.1	ENSRNOG00000060022		1	WAT-SC	FALSE	FALSE	clone	low
AABR07034362.2	ENSRNOG00000050586		1	BLOOD	FALSE	FALSE	clone	low
AABR07034956.1	ENSRNOG00000056981		1	COLON	FALSE	FALSE	clone	low
AABR07035273.1	ENSRNOG00000055687		1	SPLEEN	FALSE	FALSE	clone	low
AABR07035428.3	ENSRNOG00000059768		1	SPLEEN	FALSE	FALSE	clone	low
AABR07035780.1	ENSRNOG00000056032		1	ADRNL	FALSE	FALSE	clone	low
AABR07035791.1	ENSRNOG00000049592		1	COLON	FALSE	FALSE	clone	low
AABR07035818.1	ENSRNOG00000059116		1	BLOOD	FALSE	FALSE	clone	low
AABR07036007.1	ENSRNOG00000053790		1	SKM-VL	FALSE	FALSE	clone	low
AABR07036301.1	ENSRNOG00000059211		1	OVARY	FALSE	FALSE	clone	low
AABR07037698.1	ENSRNOG00000054904		1	WAT-SC	FALSE	FALSE	clone	low
AABR07040288.1	ENSRNOG00000047560		1	SPLEEN	FALSE	FALSE	clone	low
AABR07040840.1	ENSRNOG00000060899		1	ADRNL	FALSE	FALSE	clone	low
AABR07041096.1	ENSRNOG00000054795		1	VENACV	FALSE	FALSE	clone	low
AABR07042514.3	ENSRNOG00000061056		1	ADRNL	FALSE	FALSE	clone	low
AABR07042821.1	ENSRNOG00000054489		1	KIDNEY	FALSE	FALSE	clone	low
AABR07042903.1	ENSRNOG00000030174	ENSRNOG00000030174	1	BLOOD	TRUE	FALSE	clone	low
AABR07043748.1	ENSRNOG00000046621		1	SPLEEN	FALSE	FALSE	clone	low
AABR07044404.1	ENSRNOG00000061639		1	COLON	FALSE	FALSE	clone	low
AABR07044414.1	ENSRNOG00000059927		1	ADRNL	FALSE	FALSE	clone	low
AABR07044421.1	ENSRNOG00000061998		1	COLON	FALSE	FALSE	clone	low
AABR07044631.1	ENSRNOG00000053588		1	ADRNL	FALSE	FALSE	clone	low
AABR07044980.1	ENSRNOG00000061835		1	ADRNL	FALSE	FALSE	clone	low
AABR07046778.1	ENSRNOG00000058589		1	ADRNL	FALSE	FALSE	clone	low
AABR07048436.1	ENSRNOG00000051112		1	LIVER	FALSE	FALSE	clone	low
AABR07049574.1	ENSRNOG00000042667		1	BLOOD	FALSE	FALSE	clone	low
AABR07049695.2	ENSRNOG00000051636		1	COLON	FALSE	FALSE	clone	low
AABR07049695.3	ENSRNOG00000052757		1	COLON	FALSE	FALSE	clone	low
AABR07049769.1	ENSRNOG00000055686		1	BLOOD	FALSE	FALSE	clone	low
AABR07050646.1	ENSRNOG00000053592		1	ADRNL	FALSE	FALSE	clone	low
AABR07050652.1	ENSRNOG00000057101		1	KIDNEY	FALSE	FALSE	clone	low
AABR07051532.1	ENSRNOG00000049009		1	SMLINT	FALSE	FALSE	clone	low
AABR07051532.2	ENSRNOG00000049299		1	LUNG	FALSE	FALSE	clone	low
AABR07051533.1	ENSRNOG00000038274		1	LUNG	FALSE	FALSE	clone	low
AABR07051533.2	ENSRNOG00000043155		1	LUNG	FALSE	FALSE	clone	low
AABR07051534.1	ENSRNOG00000049755		1	LUNG	FALSE	FALSE	clone	low
AABR07051535.1	ENSRNOG00000049499		1	COLON	FALSE	FALSE	clone	low
AABR07051550.1	ENSRNOG00000047915		1	LUNG	FALSE	FALSE	clone	low
AABR07051562.1	ENSRNOG00000042083		1	SMLINT	FALSE	FALSE	clone	low
AABR07051639.1	ENSRNOG00000058342		1	LUNG	FALSE	FALSE	clone	low
AABR07051658.1	ENSRNOG00000056447		1	SPLEEN	FALSE	FALSE	clone	low
AABR07051670.1	ENSRNOG00000047535		1	LUNG	FALSE	FALSE	clone	low
AABR07051678.1	ENSRNOG00000048541		1	SMLINT	FALSE	FALSE	clone	low
AABR07051684.1	ENSRNOG00000048182		1	SMLINT	FALSE	FALSE	clone	low
AABR07051689.1	ENSRNOG00000059910		1	SPLEEN	FALSE	FALSE	clone	low
AABR07051708.1	ENSRNOG00000054828		1	SMLINT	FALSE	FALSE	clone	low
AABR07051718.1	ENSRNOG00000052047		1	SPLEEN	FALSE	FALSE	clone	low
AABR07051730.1	ENSRNOG00000054128		1	LUNG	FALSE	FALSE	clone	low
AABR07051731.1	ENSRNOG00000053899		1	SMLINT	FALSE	FALSE	clone	low
AABR07051733.1	ENSRNOG00000057280		1	COLON	FALSE	FALSE	clone	low
AABR07051733.2	ENSRNOG00000057344		1	LUNG	FALSE	FALSE	clone	low
AABR07051733.3	ENSRNOG00000058552		1	SMLINT	FALSE	FALSE	clone	low
AABR07052504.1	ENSRNOG00000054287		1	BLOOD	FALSE	FALSE	clone	low
AABR07052588.1	ENSRNOG00000042321		1	ADRNL	FALSE	FALSE	clone	low
AABR07054490.1	ENSRNOG00000061347		1	BLOOD	FALSE	FALSE	clone	low
AABR07054887.1	ENSRNOG00000061217		1	OVARY	FALSE	FALSE	clone	low
AABR07055154.1	ENSRNOG00000046855		1	ADRNL	FALSE	FALSE	clone	low
AABR07055154.1	ENSRNOG00000049881		1	ADRNL	FALSE	FALSE	clone	low
AABR07056517.1	ENSRNOG00000057959		1	ADRNL	FALSE	FALSE	clone	low
AABR07058158.1	ENSRNOG00000062170		1	ADRNL	FALSE	FALSE	clone	low
AABR07058699.1	ENSRNOG00000057791		1	OVARY	FALSE	FALSE	clone	low
AABR07059171.1	ENSRNOG00000008946		1	BLOOD	FALSE	FALSE	clone	low
AABR07059372.1	ENSRNOG00000060864		1	WAT-SC	FALSE	FALSE	clone	low
AABR07060341.2	ENSRNOG00000060317		1	COLON	FALSE	FALSE	clone	low
AABR07060341.3	ENSRNOG00000061613		1	COLON	FALSE	FALSE	clone	low
AABR07060795.1	ENSRNOG00000038376		1	SPLEEN	FALSE	FALSE	clone	low
AABR07060795.1	ENSRNOG00000054012		1	SPLEEN	FALSE	FALSE	clone	low
AABR07060795.1	ENSRNOG00000059352		1	SPLEEN	FALSE	FALSE	clone	low
AABR07060953.1	ENSRNOG00000053327		1	SMLINT	FALSE	FALSE	clone	low
AABR07060963.2	ENSRNOG00000055428		1	LUNG	FALSE	FALSE	clone	low
AABR07060971.1	ENSRNOG00000054428		1	COLON	FALSE	FALSE	clone	low
AABR07061005.2	ENSRNOG00000059007		1	SMLINT	FALSE	FALSE	clone	low
AABR07061022.1	ENSRNOG00000046854		1	SMLINT	FALSE	FALSE	clone	low
AABR07061022.1	ENSRNOG00000047415		1	SMLINT	FALSE	FALSE	clone	low
AABR07061022.1	ENSRNOG00000047658		1	SMLINT	FALSE	FALSE	clone	low
AABR07061022.2	ENSRNOG00000053033		1	LUNG	FALSE	FALSE	clone	low
AABR07061044.1	ENSRNOG00000046592		1	SMLINT	FALSE	FALSE	clone	low
AABR07061044.1	ENSRNOG00000049501		1	SMLINT	FALSE	FALSE	clone	low
AABR07061052.1	ENSRNOG00000056290		1	SPLEEN	FALSE	FALSE	clone	low
AABR07061178.1	ENSRNOG00000054121		1	ADRNL	FALSE	FALSE	clone	low
AABR07062512.1	ENSRNOG00000053339		1	ADRNL	FALSE	FALSE	clone	low
AABR07064061.1	ENSRNOG00000045967		1	BAT	FALSE	FALSE	clone	low
AABR07064878.1	ENSRNOG00000061968		1	WAT-SC	FALSE	FALSE	clone	low
AABR07065498.1	ENSRNOG00000051719		1	ADRNL	FALSE	FALSE	clone	low
AABR07065651.1	ENSRNOG00000050102		1	LUNG	FALSE	FALSE	clone	low
AABR07065651.6	ENSRNOG00000051694		1	LUNG	FALSE	FALSE	clone	low
AABR07065651.6	ENSRNOG00000060552		1	LUNG	FALSE	FALSE	clone	low
AABR07065693.3	ENSRNOG00000056285		1	LUNG	FALSE	FALSE	clone	low
AABR07065750.1	ENSRNOG00000045984		1	SMLINT	FALSE	FALSE	clone	low
AABR07065750.3	ENSRNOG00000059981		1	LUNG	FALSE	FALSE	clone	low
AABR07065768.3	ENSRNOG00000055620		1	LUNG	FALSE	FALSE	clone	low
AABR07065772.1	ENSRNOG00000050859		1	SMLINT	FALSE	FALSE	clone	low
AABR07065772.3	ENSRNOG00000051722		1	COLON	FALSE	FALSE	clone	low
AABR07065774.1	ENSRNOG00000059929		1	LUNG	FALSE	FALSE	clone	low
AABR07065778.2	ENSRNOG00000047308		1	LUNG	FALSE	FALSE	clone	low
AABR07065778.3	ENSRNOG00000048159		1	SPLEEN	FALSE	FALSE	clone	low
AABR07065781.1	ENSRNOG00000030812	ENSRNOG00000030812	1	LUNG	TRUE	FALSE	clone	low
AABR07065782.1	ENSRNOG00000033376		1	SMLINT	FALSE	FALSE	clone	low
AABR07065792.2	ENSRNOG00000048696		1	COLON	FALSE	FALSE	clone	low
AABR07065811.1	ENSRNOG00000042569		1	SPLEEN	FALSE	FALSE	clone	low
AABR07065823.2	ENSRNOG00000030235		1	LUNG	FALSE	FALSE	clone	low
AABR07065823.3	ENSRNOG00000050708		1	LUNG	FALSE	FALSE	clone	low
AABR07065837.1	ENSRNOG00000055375		1	LUNG	FALSE	FALSE	clone	low
AABR07066188.1	ENSRNOG00000054742		1	KIDNEY	FALSE	FALSE	clone	low
AABR07066201.1	ENSRNOG00000022509		1	TESTES	FALSE	FALSE	clone	low
AABR07066416.1	ENSRNOG00000031939		1	ADRNL	FALSE	FALSE	clone	low
AABR07066416.2	ENSRNOG00000046104		1	ADRNL	FALSE	FALSE	clone	low
AABR07066693.1	ENSRNOG00000047003		1	ADRNL	FALSE	FALSE	clone	low
AABR07067267.1	ENSRNOG00000011124	ENSRNOG00000011124	1	COLON	TRUE	FALSE	clone	low
AABR07068674.1	ENSRNOG00000057758		1	TESTES	FALSE	FALSE	clone	low
AABR07070161.1	ENSRNOG00000052054		1	COLON	FALSE	FALSE	clone	low
AABR07070312.1	ENSRNOG00000051285		1	OVARY	FALSE	FALSE	clone	low
AABR07071228.1	ENSRNOG00000057243		1	WAT-SC	FALSE	FALSE	clone	low
AABR07071876.1	ENSRNOG00000017306		1	COLON	FALSE	FALSE	clone	low
AABR07071904.1	ENSRNOG00000052237		1	OVARY	FALSE	FALSE	clone	low
AABR07072184.3	ENSRNOG00000051098		1	SMLINT	FALSE	FALSE	clone	low
AABR07072207.1	ENSRNOG00000011155		1	KIDNEY	FALSE	FALSE	clone	low
AABR07072236.1	ENSRNOG00000062181		1	COLON	FALSE	FALSE	clone	low
AABR07073024.1	ENSRNOG00000055762		1	ADRNL	FALSE	FALSE	clone	low
ABCA4	ENSRNOG00000012892		1	BLOOD	FALSE	FALSE	real_curated	low
ABO	ENSRNOG00000046958		1	COLON	FALSE	FALSE	real_curated	low
AC094643.2	ENSRNOG00000053040		1	KIDNEY	FALSE	FALSE	clone	low
AC105662.2	ENSRNOG00000042062		1	ADRNL	FALSE	FALSE	clone	low
AC109901.2	ENSRNOG00000059447	ENSRNOG00000059447	1	LUNG	TRUE	FALSE	clone	low
AC110306.2	ENSRNOG00000053603		1	OVARY	FALSE	FALSE	clone	low
AC110709.2	ENSRNOG00000056269		1	SMLINT	FALSE	FALSE	clone	low
AC110846.1	ENSRNOG00000038087		1	SKM-GN	FALSE	FALSE	clone	low
AC111831.2	ENSRNOG00000060905		1	WAT-SC	FALSE	FALSE	clone	low
AC114460.1	ENSRNOG00000025003		1	OVARY	FALSE	FALSE	clone	low
AC117889.1	ENSRNOG00000053079		1	SPLEEN	FALSE	FALSE	clone	low
AC117925.2	ENSRNOG00000053486		1	SMLINT	FALSE	FALSE	clone	low
AC129753.1	ENSRNOG00000037672		1	SMLINT	FALSE	FALSE	clone	low
AC130232.1	ENSRNOG00000039505		1	HEART	FALSE	FALSE	clone	low
AC130391.3	ENSRNOG00000053025		1	SMLINT	FALSE	FALSE	clone	low
AC132760.1	ENSRNOG00000061881		1	ADRNL	FALSE	FALSE	clone	low
AC133739.1	ENSRNOG00000056082		1	OVARY	FALSE	FALSE	clone	low
AC134204.1	ENSRNOG00000051069		1	ADRNL	FALSE	FALSE	clone	low
AC141377.1	ENSRNOG00000051189		1	SPLEEN	FALSE	FALSE	clone	low
AC141997.1	ENSRNOG00000059136		1	ADRNL	FALSE	FALSE	clone	low
ADPRHL1	ENSRNOG00000062013		1	SKM-GN	FALSE	FALSE	real_curated	low
ARXES1	ENSRNOG00000046858		1	ADRNL	FALSE	FALSE	real_curated	low
ARXES1	ENSRNOG00000049355		1	ADRNL	FALSE	FALSE	real_curated	low
ATP6V1F	ENSRNOG00000007392		1	BLOOD	FALSE	FALSE	real_curated	low
AY172581.19	ENSRNOG00000032882	ENSRNOG00000032882	1	ADRNL	TRUE	FALSE	real_curated	low
BMP8A	ENSRNOG00000030155		1	COLON	FALSE	FALSE	real_curated	low
C20H6ORF136	ENSRNOG00000000812		1	ADRNL	FALSE	FALSE	real_curated	low
C6H14ORF180	ENSRNOG00000013097		1	ADRNL	FALSE	FALSE	real_curated	low
CATSPERZ	ENSRNOG00000051621		1	WAT-SC	FALSE	FALSE	real_curated	low
