feature_ID	symbol	biotype
ENSRNOG00000000493	Snrpc	protein_coding
ENSRNOG00000000495	Bltp3a	protein_coding
ENSRNOG00000000498	Anks1a	protein_coding
ENSRNOG00000000499	Tcp11	protein_coding
ENSRNOG00000000500	Scube3	protein_coding
ENSRNOG00000000501	Zfp523	protein_coding
ENSRNOG00000000502	Def6	protein_coding
ENSRNOG00000000503	Ppard	protein_coding
ENSRNOG00000000504	Fance	protein_coding
ENSRNOG00000000505	Rpl10a	protein_coding
ENSRNOG00000000506	Tead3	protein_coding
ENSRNOG00000000507	Tulp1	protein_coding
ENSRNOG00000000508	Armc12	protein_coding
ENSRNOG00000000510	Clps	protein_coding
ENSRNOG00000000511	Srpk1	protein_coding
ENSRNOG00000000512	Slc26a8	protein_coding
ENSRNOG00000000513	Mapk14	protein_coding
ENSRNOG00000000515	Mapk13	protein_coding
ENSRNOG00000000516	Pxt1	protein_coding
ENSRNOG00000000517	Kctd20	protein_coding
ENSRNOG00000000519	Stk38	protein_coding
ENSRNOG00000000520	Srsf3	protein_coding
ENSRNOG00000000521	Cdkn1a	protein_coding
ENSRNOG00000000522	Cpne5	protein_coding
ENSRNOG00000000523	Ppil1	protein_coding
ENSRNOG00000000524	C20h6orf89	protein_coding
ENSRNOG00000000525	Pi16	protein_coding
ENSRNOG00000000527	Mtch1	protein_coding
ENSRNOG00000000528	Fgd2	protein_coding
ENSRNOG00000000529	Pim1	protein_coding
ENSRNOG00000000532	Cmtr1	protein_coding
ENSRNOG00000000536	Mdga1	protein_coding
ENSRNOG00000000540	Btbd9	protein_coding
ENSRNOG00000000541	Glo1	protein_coding
ENSRNOG00000000542	Dnah8	protein_coding
ENSRNOG00000000543	Frk	protein_coding
ENSRNOG00000000546	Nt5dc1	protein_coding
ENSRNOG00000000549	Tspyl1	protein_coding
ENSRNOG00000000551	Fam241b	protein_coding
ENSRNOG00000000552	Col13a1	protein_coding
ENSRNOG00000000556	Nodal	protein_coding
ENSRNOG00000000557	Ppa1	protein_coding
ENSRNOG00000000559	Npffr1	protein_coding
ENSRNOG00000000560	Lrrc20	protein_coding
ENSRNOG00000000561	Pald1	protein_coding
ENSRNOG00000000562	Prf1	protein_coding
ENSRNOG00000000563	Adamts14	protein_coding
ENSRNOG00000000564	Tbata	protein_coding
ENSRNOG00000000565	Sgpl1	protein_coding
ENSRNOG00000000566	Pcbd1	protein_coding
ENSRNOG00000000567	Unc5b	protein_coding
ENSRNOG00000000568	Slc29a3	protein_coding
ENSRNOG00000000569	Vsir	protein_coding
ENSRNOG00000000571	Psap	protein_coding
ENSRNOG00000000572	Chst3	protein_coding
ENSRNOG00000000576	Anapc16	protein_coding
ENSRNOG00000000579	Marcks	protein_coding
ENSRNOG00000000580	Calhm4	protein_coding
ENSRNOG00000000581	Cdc40	protein_coding
ENSRNOG00000000582	Ddo	protein_coding
ENSRNOG00000000583	Cdk19	protein_coding
ENSRNOG00000000585	Amd1	protein_coding
ENSRNOG00000000586	Gtf3c6	protein_coding
ENSRNOG00000000587	Rpf2	protein_coding
ENSRNOG00000000588	Slc16a10	protein_coding
ENSRNOG00000000589	Mfsd4b2l1	protein_coding
ENSRNOG00000000590	Naglt1	protein_coding
ENSRNOG00000000593	Rev3l	protein_coding
ENSRNOG00000000595	Traf3ip2	protein_coding
ENSRNOG00000000596	Fyn	protein_coding
ENSRNOG00000000597	Ccn6	protein_coding
ENSRNOG00000000598	Tube1	protein_coding
ENSRNOG00000000599	Lama4	protein_coding
ENSRNOG00000000604	Hdac2	protein_coding
ENSRNOG00000000605	Hs3st5	protein_coding
ENSRNOG00000000606	Pcdh15	protein_coding
ENSRNOG00000000609	Ipmk	protein_coding
ENSRNOG00000000610	Cisd1	protein_coding
ENSRNOG00000000611	Ube2d1	protein_coding
ENSRNOG00000000613	Tfam	protein_coding
ENSRNOG00000000614	Bicc1	protein_coding
ENSRNOG00000000618	Mdga2	protein_coding
ENSRNOG00000000630	Dynlt2b-ps1	protein_coding
ENSRNOG00000000632	Cdk1	protein_coding
ENSRNOG00000000633	Rhobtb1	protein_coding
ENSRNOG00000000634	Cabcoco1	protein_coding
ENSRNOG00000000635	Arid5b	protein_coding
ENSRNOG00000000638	Zfp365	protein_coding
ENSRNOG00000000640	Egr2	protein_coding
ENSRNOG00000000641	Nrbf2	protein_coding
ENSRNOG00000000645	Reep3	protein_coding
ENSRNOG00000000648	Jmjd1c	protein_coding
ENSRNOG00000000653	Nr5a2	protein_coding
ENSRNOG00000000655	Ptprc	protein_coding
ENSRNOG00000000657	Nek7	protein_coding
ENSRNOG00000000658	Acacb	protein_coding
ENSRNOG00000000661	Hps4	protein_coding
ENSRNOG00000000662	Srrd	protein_coding
ENSRNOG00000000663	Tfip11	protein_coding
ENSRNOG00000000664	Tpst2	protein_coding
ENSRNOG00000000665	Pitpnb	protein_coding
ENSRNOG00000000691	Foxn4	protein_coding
ENSRNOG00000000692	Ung	protein_coding
ENSRNOG00000000693	Svop	protein_coding
ENSRNOG00000000695	Ssh1	protein_coding
ENSRNOG00000000697	Coro1c	protein_coding
ENSRNOG00000000699	Selplg	protein_coding
ENSRNOG00000000700	Tmem119	protein_coding
ENSRNOG00000000701	Iscu	protein_coding
ENSRNOG00000000702	Sart3	protein_coding
ENSRNOG00000000704	Cmklr1	protein_coding
ENSRNOG00000000708	Sgsm1	protein_coding
ENSRNOG00000000713	AABR07033045.1	protein_coding
ENSRNOG00000000715	Pou1f1	protein_coding
ENSRNOG00000000716	Htr1f	protein_coding
ENSRNOG00000000718	Cggbp1	protein_coding
ENSRNOG00000000720	C11h3orf38	protein_coding
ENSRNOG00000000726	Or2j3	protein_coding
ENSRNOG00000000728	Clic2	protein_coding
ENSRNOG00000000729	Tmlhe	protein_coding
ENSRNOG00000000759	Or5v1b	protein_coding
ENSRNOG00000000763	RT1-M3-1	protein_coding
ENSRNOG00000000765	Or11a4	protein_coding
ENSRNOG00000000767	AC112568.1	protein_coding
ENSRNOG00000000774	Gabbr1	protein_coding
ENSRNOG00000000779	Polr1h	protein_coding
ENSRNOG00000000781	Rnf39	protein_coding
ENSRNOG00000000782	Trim10	protein_coding
ENSRNOG00000000783	Trim40	protein_coding
ENSRNOG00000000785	Trim39	protein_coding
ENSRNOG00000000786	Rpp21	protein_coding
ENSRNOG00000000795	RT1-N3	protein_coding
ENSRNOG00000000796	Ranbp2	protein_coding
ENSRNOG00000000798	Gnl1	protein_coding
ENSRNOG00000000799	Abcf1	protein_coding
ENSRNOG00000000800	Man1a1	protein_coding
ENSRNOG00000000801	Msl3l2	protein_coding
ENSRNOG00000000802	Tbc1d32	protein_coding
ENSRNOG00000000804	Mrps18b	protein_coding
ENSRNOG00000000805	Gja1	protein_coding
ENSRNOG00000000808	Hsf2	protein_coding
ENSRNOG00000000809	Atat1	protein_coding
ENSRNOG00000000811	Pkib	protein_coding
ENSRNOG00000000814	Fabp7	protein_coding
ENSRNOG00000000823	Gcc2	protein_coding
ENSRNOG00000000824	Dse	protein_coding
ENSRNOG00000000825	Calhm5	protein_coding
ENSRNOG00000000826	Flot1	protein_coding
ENSRNOG00000000827	Ier3	protein_coding
ENSRNOG00000000831	Gtf2h4	protein_coding
ENSRNOG00000000833	Vars2	protein_coding
ENSRNOG00000000838	Lta	protein_coding
ENSRNOG00000000839	Nfkbil1	protein_coding
ENSRNOG00000000840	Atp6v1g2	protein_coding
ENSRNOG00000000841	Ddx39b	protein_coding
ENSRNOG00000000842	Ddah2	protein_coding
ENSRNOG00000000846	Ly6g5c	protein_coding
ENSRNOG00000000847	Csnk2b	protein_coding
ENSRNOG00000000848	Gpank1	protein_coding
ENSRNOG00000000850	Apom	protein_coding
ENSRNOG00000000851	Bag6	protein_coding
ENSRNOG00000000852	Prrc2a	protein_coding
ENSRNOG00000000853	Aif1	protein_coding
ENSRNOG00000000854	Ncr3	protein_coding
ENSRNOG00000000855	Lst1	protein_coding
ENSRNOG00000000857	Msh5	protein_coding
ENSRNOG00000000858	Sapcd1	protein_coding
ENSRNOG00000000860	Vwa7	protein_coding
ENSRNOG00000000861	Zic3	protein_coding
ENSRNOG00000000866	Rbmx	protein_coding
ENSRNOG00000000867	Vars1	protein_coding
ENSRNOG00000000869	Arhgef6	protein_coding
ENSRNOG00000000871	Cd40lg	protein_coding
ENSRNOG00000000873	Brs3	protein_coding
ENSRNOG00000000875	Fhl1	protein_coding
ENSRNOG00000000878	Slc44a4	protein_coding
ENSRNOG00000000879	Slc9a6	protein_coding
ENSRNOG00000000885	Auts2	protein_coding
ENSRNOG00000000888	Sbds	protein_coding
ENSRNOG00000000889	Ralbp1l1	protein_coding
ENSRNOG00000000893	Tmem248	protein_coding
ENSRNOG00000000894	Fry	protein_coding
ENSRNOG00000000895	Rabgef1	protein_coding
ENSRNOG00000000897	Rxfp2	protein_coding
ENSRNOG00000000900	Tpst1	protein_coding
ENSRNOG00000000902	Hsph1	protein_coding
ENSRNOG00000000903	Asl	protein_coding
ENSRNOG00000000904	Wdr95	protein_coding
ENSRNOG00000000905	Tex26	protein_coding
ENSRNOG00000000906	Medag	protein_coding
ENSRNOG00000000907	Alox5ap	protein_coding
ENSRNOG00000000909	Uspl1	protein_coding
ENSRNOG00000000913	Gusb	protein_coding
ENSRNOG00000000918	Zbed5	protein_coding
ENSRNOG00000000920	Phkg1	protein_coding
ENSRNOG00000000921	Ubl3	protein_coding
ENSRNOG00000000922	Sumf2	protein_coding
ENSRNOG00000000923	Cct6a	protein_coding
ENSRNOG00000000924	Slc7a1	protein_coding
ENSRNOG00000000925	Psph	protein_coding
ENSRNOG00000000931	Sfswap	protein_coding
ENSRNOG00000000934	Piwil1	protein_coding
ENSRNOG00000000936	Stx2	protein_coding
ENSRNOG00000000937	Slc46a3	protein_coding
ENSRNOG00000000938	Ran	protein_coding
ENSRNOG00000000940	Flt1	protein_coding
ENSRNOG00000000942	Pan3	protein_coding
ENSRNOG00000000952	Gsx1	protein_coding
ENSRNOG00000000954	Polr1d	protein_coding
ENSRNOG00000000955	Lnx2	protein_coding
ENSRNOG00000000956	Rasl11a	protein_coding
ENSRNOG00000000957	Rpl21	protein_coding
ENSRNOG00000000961	Glt1d1	protein_coding
ENSRNOG00000000962	Slc15a4	protein_coding
ENSRNOG00000000963	Tmem132c	protein_coding
ENSRNOG00000000964	Frg1-ps1	protein_coding
ENSRNOG00000000967	Aacs	protein_coding
ENSRNOG00000000968	Rnf6	protein_coding
ENSRNOG00000000969	Cyp3a18	protein_coding
ENSRNOG00000000973	Saxo5	protein_coding
ENSRNOG00000000974	Zfp358	protein_coding
ENSRNOG00000000975	Mcoln1	protein_coding
ENSRNOG00000000977	Pnpla6	protein_coding
ENSRNOG00000000978	Cyp3a73	protein_coding
ENSRNOG00000000981	Scarb1	protein_coding
ENSRNOG00000000985	Cpsf4	protein_coding
ENSRNOG00000000986	Camsap3	protein_coding
ENSRNOG00000000987	Ptcd1	protein_coding
ENSRNOG00000000988	Xab2	protein_coding
ENSRNOG00000000989	Bud31	protein_coding
ENSRNOG00000000990	Pdap1	protein_coding
ENSRNOG00000000991	Arpc1b	protein_coding
ENSRNOG00000000993	Pcp2	protein_coding
ENSRNOG00000000994	Stxbp2	protein_coding
ENSRNOG00000000996	Arpc1a	protein_coding
ENSRNOG00000000999	Smurf1	protein_coding
ENSRNOG00000001001	Retn	protein_coding
ENSRNOG00000001003	Trappc5	protein_coding
ENSRNOG00000001004	Ncor2	protein_coding
ENSRNOG00000001005	Fcer2	protein_coding
ENSRNOG00000001006	Nptx2	protein_coding
ENSRNOG00000001007	Baiap2l1	protein_coding
ENSRNOG00000001009	Bri3	protein_coding
ENSRNOG00000001010	Tecpr1	protein_coding
ENSRNOG00000001017	Cd209d	protein_coding
ENSRNOG00000001027	Cd209fl1	protein_coding
ENSRNOG00000001030	Tsc22d1	protein_coding
ENSRNOG00000001031	Ocm	protein_coding
ENSRNOG00000001032	Ccz1	protein_coding
ENSRNOG00000001033	Nufip1	protein_coding
ENSRNOG00000001034	Evi5l	protein_coding
ENSRNOG00000001035	Gtf2h3	protein_coding
ENSRNOG00000001036	Rsph10b	protein_coding
ENSRNOG00000001037	Gpalpp1	protein_coding
ENSRNOG00000001039	Eif2b1	protein_coding
ENSRNOG00000001040	Pms2	protein_coding
ENSRNOG00000001043	Ddx55	protein_coding
ENSRNOG00000001044	Aimp2	protein_coding
ENSRNOG00000001047	Map2k7	protein_coding
ENSRNOG00000001048	Ankrd61	protein_coding
ENSRNOG00000001049	Tpt1l2	protein_coding
ENSRNOG00000001050	Eif2ak1	protein_coding
ENSRNOG00000001052	Slc25a30	protein_coding
ENSRNOG00000001053	Tmed2	protein_coding
ENSRNOG00000001055	Rilpl1	protein_coding
ENSRNOG00000001056	Snapc2	protein_coding
ENSRNOG00000001058	Timm44	protein_coding
ENSRNOG00000001059	Usp42	protein_coding
ENSRNOG00000001060	Snrnp35	protein_coding
ENSRNOG00000001061	Rilpl2	protein_coding
ENSRNOG00000001064	Sbno1	protein_coding
ENSRNOG00000001065	Cyth3	protein_coding
ENSRNOG00000001066	Itih2	protein_coding
ENSRNOG00000001068	Rac1	protein_coding
ENSRNOG00000001069	Elavl1	protein_coding
ENSRNOG00000001070	Cdk2ap1	protein_coding
ENSRNOG00000001071	AABR07035091.1	protein_coding
ENSRNOG00000001072	Cers4	protein_coding
ENSRNOG00000001073	Mtrfr	protein_coding
ENSRNOG00000001074	Mphosph9	protein_coding
ENSRNOG00000001079	Daglb	protein_coding
ENSRNOG00000001080	Arl6ip4	protein_coding
ENSRNOG00000001081	Ogfod2	protein_coding
ENSRNOG00000001082	Abcb9	protein_coding
