feature_ID	n_tissues	tissue
ENSRNOG00000080491	7	ADRNL,BAT,BLOOD,LIVER,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000000524	6	ADRNL,BAT,BLOOD,HEART,OVARY,WAT-SC
ENSRNOG00000000571	6	ADRNL,BAT,BLOOD,LUNG,OVARY,SKM-VL
ENSRNOG00000000699	6	ADRNL,BAT,BLOOD,LUNG,OVARY,SMLINT
ENSRNOG00000000728	6	ADRNL,BLOOD,COLON,HEART,SPLEEN,WAT-SC
ENSRNOG00000000841	6	ADRNL,BAT,BLOOD,SKM-GN,SPLEEN,WAT-SC
ENSRNOG00000000957	6	BLOOD,CORTEX,HIPPOC,KIDNEY,SPLEEN,WAT-SC
ENSRNOG00000001158	6	ADRNL,BAT,COLON,HEART,KIDNEY,SMLINT
ENSRNOG00000001224	6	ADRNL,BAT,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000001425	6	ADRNL,LIVER,SKM-GN,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000001480	6	ADRNL,BAT,COLON,LUNG,OVARY,SMLINT
ENSRNOG00000001843	6	ADRNL,COLON,CORTEX,HEART,OVARY,SPLEEN
ENSRNOG00000001908	6	ADRNL,BAT,COLON,LUNG,SMLINT,SPLEEN
ENSRNOG00000002474	6	ADRNL,BLOOD,OVARY,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000002721	6	ADRNL,BAT,BLOOD,HEART,SKM-GN,SKM-VL
ENSRNOG00000002930	6	ADRNL,COLON,HIPPOC,LUNG,SPLEEN,WAT-SC
ENSRNOG00000002997	6	ADRNL,KIDNEY,LUNG,SKM-GN,SKM-VL,SPLEEN
ENSRNOG00000003330	6	ADRNL,BAT,COLON,LIVER,SKM-GN,WAT-SC
ENSRNOG00000003357	6	ADRNL,BAT,LUNG,OVARY,SKM-GN,WAT-SC
ENSRNOG00000003587	6	ADRNL,BAT,HEART,LUNG,SPLEEN,WAT-SC
ENSRNOG00000004290	6	ADRNL,COLON,OVARY,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000004441	6	ADRNL,BLOOD,LUNG,SKM-VL,SPLEEN,WAT-SC
ENSRNOG00000004444	6	ADRNL,BAT,BLOOD,LUNG,SMLINT,SPLEEN
ENSRNOG00000004517	6	ADRNL,KIDNEY,LIVER,LUNG,OVARY,TESTES
ENSRNOG00000004861	6	ADRNL,COLON,LUNG,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000005195	6	ADRNL,BAT,BLOOD,HEART,SKM-VL,WAT-SC
ENSRNOG00000005615	6	ADRNL,BAT,BLOOD,HEART,OVARY,SKM-GN
ENSRNOG00000005620	6	BAT,COLON,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000005776	6	ADRNL,BAT,COLON,LUNG,SPLEEN,WAT-SC
ENSRNOG00000005807	6	ADRNL,BAT,COLON,LUNG,OVARY,SMLINT
ENSRNOG00000005809	6	ADRNL,BAT,LUNG,OVARY,SMLINT,WAT-SC
ENSRNOG00000006946	6	ADRNL,BAT,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000007069	6	ADRNL,BAT,LUNG,SKM-GN,SKM-VL,WAT-SC
ENSRNOG00000007104	6	ADRNL,BAT,COLON,KIDNEY,LUNG,OVARY
ENSRNOG00000007200	6	ADRNL,BAT,LUNG,SMLINT,SPLEEN,WAT-SC
ENSRNOG00000007281	6	ADRNL,LUNG,OVARY,SKM-GN,SKM-VL,SMLINT
ENSRNOG00000007574	6	ADRNL,COLON,CORTEX,HIPPOC,SKM-GN,SKM-VL
ENSRNOG00000007650	6	COLON,HEART,LIVER,LUNG,SKM-GN,SPLEEN
ENSRNOG00000008236	6	ADRNL,BAT,HEART,KIDNEY,SKM-GN,WAT-SC
ENSRNOG00000008329	6	ADRNL,BAT,BLOOD,COLON,SKM-GN,SKM-VL
